Title,Content,Time Frame,Value,Bed,Bath,Land,Address,Source,Description,Images,,,,,,,
Town House Motel,,1961,,,,,"60 Marcus Clarke Street, Civic",,,,,,,,,,
Dickson Library,,1964,,,,,"Dickson Library, Antill Street, Dickson",,,,,,,,,,
Downes Place,,1965,,,,,"19 Downes Place, Hughes ",,,,,,,,,,
Gibson House,,1965,,,,,"12 Scarborough Street, Red Hill",,,,,,,,,,
McKeown Houses,,1965,,,,,"109 Irvine Street, Watson",,,,,,,,,,
Center Cinema,,1966,,,,,"Bunda Street, Civic",,,,,,,,,,
Italian Embassy,,1967,,,,,"National Circuit, Deakin",,,,,,,,,,
ACMA Conference Centre,,1967,,,,,26 Brisbane Avenue,,,,,,,,,,
Juad Place,,1970,,,,,"7 Juad Place, Aranda",,,,,,,,,,
Killen House,,1970,,,,,311 Majura Road,,,,,,,,,,
Latham Primary School and Pre School,,1971,,,,,"O’Loghlen Street, Latham",,,,,,,,,,
Evans House,,1971,,,,,"62 Skinner Street, Cook",,,,,,,,,,
Flynn Primary School and Pre School,,1972,,,,,"Bingle Street, Flynn",,,,,,,,,,
Medium Density Housing,,1973,,,,,"Mockridge Crescent, Holt",,,,,,,,,,
Wood House,,1973,,,,,"43 Mayo Street, Weetangera",,,,,,,,,,
Green House,,1975,,,,,"78 Couvreur Street, Garran",,,,,,,,,,
Giralang Primary School,,1975,,,,,"Canopus Crescent, Giralang",,,,,,,,,,
Gentle House,,1977,,,,,"7 Niblo Place, Chapman",,,,,,,,,,
Apostolic Nunciature,,1977,,,,,"2 Vancouver Street, Red Hill",,,,,,,,,,
Australian War Memorial Annex,,1978,,,,,"4 Callan Street, Mitchell",,,,,,,,,,
Nitrate Film Vaults,,1978,,,,,"16 Vickers Street, Mitchell",,,,,,,,,,
Sullivan Crescent,,1980,,,,,"61 Sullivan Crescent, Wanniassa",,,,,,,,,,
Dickson Health Centre,,1981,,,,,"Antill Street, Dickson",,,,,,,,,,
Gowrie Primary School and Pre School,,1983,,,,,"Jeffries Street, Gowrie",,,,,,,,,,
Phillips Fox Building,,1985,,,,,"54 Marcus Clarke Street, Civic",,,,,,,,,,
Woden Youth Centre,,1988,,,,,"Callam Street, Phillip",,,,,,,,,,
Real Estate House,,1989,,,,,"16 Thesiger Court, Deakin",,,,,,,,,,
Saudi Arabian Ambassadors Residence,,1996,,,,,"88 Brereton Street, Garran",,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
